i,valid_fac_cf,dplayer_y_fac_cf,pix_meanabs_fac_cf,token_hamming_fac_cf,collision_fac_cf,prequant_latent_dist_fac_cf,token_hamming_fac_other,collision_fac_other,cur_tokens,fac_tokens,cf_tokens
107,True,6.0,0.11295351473922903,4,False,9.908470153808594,4,False,61|61|61|61,13|13|13|13,16|16|16|16
108,True,6.0,0.11267006802721088,4,False,11.649938583374023,4,False,46|46|46|46,61|61|61|61,21|9|9|21
109,True,0.0,0.0,0,True,0.0,0,True,14|27|14|14,35|35|35|35,35|35|35|35
110,True,0.0,0.0,0,True,0.0,0,True,58|58|58|58,58|58|58|58,58|58|58|58
111,True,0.0,0.0,0,True,0.0,0,True,52|52|52|52,52|52|52|52,52|52|52|52
112,True,0.0,0.0,0,True,0.0,0,True,32|20|20|32,32|37|37|32,32|37|37|32
113,True,0.0,0.0,0,True,0.0,0,True,43|43|43|43,43|43|43|43,43|43|43|43
114,True,0.0,0.0,0,True,0.0,0,True,11|7|11|11,39|52|39|39,39|52|39|39
115,True,6.0,0.11210317460317461,4,False,10.514411926269531,4,False,28|28|28|28,11|11|11|11,52|52|52|52
116,True,5.0,0.0939625850340136,4,False,10.825299263000488,4,False,32|14|32|32,51|5|51|51,55|9|9|55
